id,Фамилия,Имя,Отдел,Телефон,Дата_рождения,Хобби
1,Андреев,Петр,маректинг,+79998293655,5-11-1967,рыбалка
2,Петров,Сергей,продажи,+79238028279,4-2-1973,театры
3,Петров,Николай,бухгалтерия,+79600919641,27-6-1984,футбол
4,Семенов,Николай,кадры,+79272888521,3-9-1983,авто
5,Попов,Андрей,кадры,+79374525366,28-7-1984,баня
6,Петров,Андрей,бухгалтерия,+79114519824,14-2-1991,театры
7,Попов,Вячеслав,сервис,+79734873837,10-1-1966,баня
8,Попов,Андрей,снабжение,+79416198696,25-4-1972,авто
9,Андреев,Сергей,сервис,+79576456938,26-8-1960,прочее
10,Семенов,Петр,маректинг,+79580914495,1-7-1966,авто
11,Семенов,Вячеслав,бухгалтерия,+79584603343,28-2-1978,рыбалка
12,Голубев,Андрей,бухгалтерия,+79342319216,28-12-1977,театры
13,Сидоров,Иван,логистика,+79365351050,17-3-1990,футбол
14,Голубев,Аркадий,кадры,+79125415563,4-2-1960,музеи
15,Петров,Андрей,юристы,+79563164762,22-2-1997,путешествия
16,Семенов,Петр,юристы,+79498505539,26-5-1994,баня
17,Иванов,Николай,снабжение,+79538958013,4-6-1978,путешествия
18,Синицын,Михаил,юристы,+79180206083,8-12-1979,саморазвитие
19,Голубев,Аркадий,логистика,+79688284313,10-7-1962,театры
20,Потемкин,Вячеслав,кадры,+79370416369,8-1-1964,авто
21,Сергеев,Николай,сервис,+79341470833,10-12-1982,музеи
22,Иванов,Николай,бухгалтерия,+79689108911,8-5-1990,авто
23,Попов,Сергей,снабжение,+79229489410,23-6-1978,саморазвитие
24,Сергеев,Петр,сервис,+79102921773,3-9-1985,саморазвитие
25,Потемкин,Михаил,юристы,+79610328658,9-7-1988,прочее
26,Попов,Сергей,логистика,+79703082474,20-11-1961,прочее
27,Андреев,Сергей,дирекция,+79437264532,20-10-1987,путешествия
28,Андреев,Петр,продажи,+79894491852,2-3-1960,авто
29,Петров,Иван,дирекция,+79510179804,5-9-1985,музеи
30,Сергеев,Андрей,логистика,+79477613521,15-6-1996,музеи
31,Семенов,Сергей,сервис,+79900807600,2-6-1974,прочее
32,Сергеев,Петр,дирекция,+79413711129,12-3-1970,путешествия
33,Синицын,Николай,логистика,+79864396733,15-7-1971,прочее
34,Иванов,Сергей,маректинг,+79499346467,25-5-1987,путешествия
35,Сергеев,Иван,кадры,+79153050588,20-9-1997,театры
36,Семенов,Иван,юристы,+79711578958,17-10-1980,музеи
37,Попов,Аркадий,логистика,+79734806418,17-9-1966,театры
