id,Фамилия,Имя,Отдел,Телефон,Дата_рождения,Хобби
1,Орлов,Андрей,кадры,+79731442154,25-12-1966,авто
2,Сергеев,Петр,дирекция,+79595912993,16-5-1984,путешествия
3,Потемкин,Иван,маректинг,+79822996085,28-6-1963,музеи
4,Попов,Николай,маректинг,+79610037744,10-12-1985,театры
5,Сидоров,Иван,маректинг,+79321661721,11-8-1966,путешествия
6,Попов,Вячеслав,юристы,+79978881424,18-2-1970,рыбалка
7,Иванов,Петр,сервис,+79662605471,18-9-1980,музеи
8,Сидоров,Иван,продажи,+79887716274,15-6-1971,прочее
9,Попов,Сергей,дирекция,+79871800714,14-4-1973,саморазвитие
10,Попов,Вячеслав,юристы,+79933790589,19-5-1964,рыбалка
11,Иванов,Николай,снабжение,+79193314826,22-3-1978,саморазвитие
12,Орлов,Андрей,юристы,+79608211973,27-6-1980,музеи
13,Семенов,Аркадий,снабжение,+79132983278,2-9-1973,футбол
14,Петров,Николай,маректинг,+79429362209,11-12-1989,прочее
15,Синицын,Сергей,дирекция,+79126152137,10-3-1965,прочее
16,Попов,Петр,бухгалтерия,+79713393479,24-10-1961,авто
17,Попов,Сергей,бухгалтерия,+79838611060,9-8-1969,баня
18,Синицын,Михаил,продажи,+79174378303,15-3-1990,театры
19,Голубев,Сергей,логистика,+79576849882,22-7-1985,футбол
20,Сидоров,Андрей,дирекция,+79172850929,10-1-1962,рыбалка
21,Семенов,Николай,юристы,+79402254227,17-5-1960,прочее
22,Потемкин,Аркадий,юристы,+79986328972,25-7-1971,саморазвитие
23,Голубев,Михаил,снабжение,+79149851280,22-1-1975,футбол
24,Орлов,Иван,логистика,+79462662018,17-7-1989,музеи
25,Иванов,Михаил,сервис,+79294988527,3-6-1992,футбол
26,Иванов,Иван,кадры,+79714077451,19-12-1997,прочее
27,Сергеев,Вячеслав,юристы,+79224067781,20-4-1966,музеи
28,Иванов,Аркадий,кадры,+79405912234,8-10-1992,авто
29,Сидоров,Михаил,сервис,+79274562938,24-10-1995,баня
30,Иванов,Аркадий,маректинг,+79542080417,22-3-1998,авто
31,Петров,Петр,кадры,+79424568983,4-7-1986,музеи
32,Иванов,Николай,снабжение,+79710821498,15-7-1979,футбол
33,Сидоров,Иван,маректинг,+79202934688,18-5-1972,авто
34,Голубев,Иван,кадры,+79804567691,18-12-1971,музеи
35,Иванов,Сергей,маректинг,+79353018958,27-3-1963,саморазвитие
36,Иванов,Иван,снабжение,+79410859994,12-5-1997,авто
37,Потемкин,Андрей,продажи,+79238137042,26-2-1988,баня
38,Сергеев,Николай,бухгалтерия,+79560839111,27-6-1986,театры
39,Голубев,Николай,продажи,+79224255677,3-10-1982,путешествия
40,Семенов,Аркадий,логистика,+79407711491,2-3-1966,футбол
41,Орлов,Сергей,логистика,+79595205768,18-12-1960,рыбалка
42,Потемкин,Петр,маректинг,+79257061022,18-8-1966,прочее
43,Андреев,Николай,кадры,+79127779993,22-8-1993,баня
44,Андреев,Сергей,маректинг,+79247994183,22-12-1980,музеи
45,Иванов,Вячеслав,бухгалтерия,+79962448117,5-12-1970,прочее
46,Сидоров,Михаил,продажи,+79579359457,21-2-1986,прочее
47,Андреев,Петр,логистика,+79937048010,26-10-1970,авто
48,Сидоров,Михаил,продажи,+79268277141,23-2-1960,баня
49,Андреев,Вячеслав,кадры,+79459193563,5-6-1981,музеи
50,Петров,Николай,продажи,+79664072082,17-3-1962,авто
51,Попов,Вячеслав,кадры,+79742323946,7-6-1991,рыбалка
52,Синицын,Николай,логистика,+79640114991,23-3-1996,театры
53,Иванов,Сергей,бухгалтерия,+79816113435,7-7-1999,авто
54,Сидоров,Вячеслав,продажи,+79337671724,18-4-1975,прочее
55,Потемкин,Сергей,дирекция,+79648599245,21-6-1965,рыбалка
56,Петров,Николай,кадры,+79716019943,7-1-1988,баня
