id,Фамилия,Имя,Отдел,Телефон,Дата_рождения,Хобби
11,Кучеров,Петр,снабжение,+79939459911,5-6-1995,баня
12,Попов,Петр,логистика,+79233007148,11-8-1997,авто
13,Сергеев,Сергей,кадры,+79587161922,1-3-1987,баня
14,Потемкин,Николай,бухгалтерия,+79464189841,2-2-1992,авто
15,Попов,Иван,снабжение,+79521916546,7-3-1979,театры
16,Сидоров,Иван,бухгалтерия,+79155018042,1-3-1961,путешествия
17,Семенов,Петр,юристы,+79998654731,27-7-1968,авто
18,Семенов,Аркадий,бухгалтерия,+79452025811,11-3-1991,театры
19,Орлов,Аркадий,снабжение,+79158920852,6-12-1989,футбол
20,Семенов,Андрей,маректинг,+79197345591,23-5-1968,прочее
21,Иванов,Андрей,логистика,+79508343023,16-9-1989,музеи
22,Сидоров,Аркадий,логистика,+79111727187,19-3-1976,баня
23,Андреев,Петр,кадры,+79753800482,18-10-1969,путешествия
24,Голубев,Сергей,снабжение,+79445416959,10-10-1966,прочее
25,Чижиков,Петр,юристы,+79792276388,22-11-1994,авто
26,Семенов,Михаил,логистика,+79190873193,28-4-1970,прочее
27,Потемкин,Вячеслав,снабжение,+79557965484,21-3-1991,театры
28,Голубев,Аркадий,бухгалтерия,+79542258865,8-1-1986,прочее
29,Голубев,Вячеслав,снабжение,+79282072843,27-5-1980,баня
30,Семенов,Петр,дирекция,+79477816954,10-6-1996,путешествия
31,Синицын,Петр,дирекция,+79862434731,19-5-1999,путешествия
32,Петров,Андрей,юристы,+79605565285,15-12-1987,саморазвитие
33,Сидоров,Андрей,логистика,+79355295464,20-6-1983,футбол
34,Потемкин,Николай,юристы,+79211194126,7-1-1961,путешествия
35,Голубев,Михаил,юристы,+79132201785,6-7-1999,музеи
36,Орлов,Михаил,юристы,+79370014356,22-12-1976,футбол
37,Петров,Сергей,логистика,+79649589546,20-3-1960,саморазвитие
38,Андреев,Вячеслав,бухгалтерия,+79890014847,14-12-1978,прочее
39,Сергеев,Петр,бухгалтерия,+79209779258,16-9-1984,прочее
40,Голубев,Михаил,кадры,+79795192727,7-1-1978,авто
41,Орлов,Николай,сервис,+79772925109,8-7-1989,футбол
42,Петров,Вячеслав,бухгалтерия,+79204559586,15-2-1968,театры
43,Андреев,Михаил,дирекция,+79715988044,19-8-1967,путешествия
44,Синицын,Сергей,маректинг,+79703089036,26-8-1963,путешествия
45,Потемкин,Николай,снабжение,+79847369416,9-7-1966,театры
46,Сидоров,Петр,юристы,+79651831894,13-9-1981,театры
47,Иванов,Петр,сервис,+79573423205,11-1-1972,музеи
48,Иванов,Иван,дирекция,+79269885374,24-5-1964,рыбалка
49,Сергеев,Аркадий,маректинг,+79770202902,6-1-1966,авто
50,Голубев,Петр,продажи,+79786909768,10-7-1971,саморазвитие
51,Попов,Николай,сервис,+79373830107,24-3-1986,баня
52,Иванов,Андрей,кадры,+79431799056,11-11-1963,прочее
53,Сидоров,Михаил,юристы,+79491425369,17-3-1967,саморазвитие
54,Семенов,Иван,снабжение,+79721074188,24-4-1988,прочее
55,Голубев,Михаил,снабжение,+79336791336,26-1-1978,авто
56,Синицын,Петр,снабжение,+79452238671,6-2-1985,баня
57,Попов,Андрей,дирекция,+79817525826,7-2-1987,театры
58,Орлов,Николай,кадры,+79240969485,5-7-1998,прочее
59,Синицын,Андрей,снабжение,+79382519286,8-2-1998,театры
60,Семенов,Андрей,логистика,+79209637587,19-8-1993,саморазвитие
61,Потемкин,Аркадий,маректинг,+79341624183,4-5-1984,саморазвитие
62,Синицын,Аркадий,кадры,+79171242177,17-2-1990,прочее
63,Попов,Андрей,снабжение,+79393018119,9-2-1960,баня
64,Попов,Михаил,юристы,+79324357077,12-1-1986,путешествия
65,Иванов,Андрей,бухгалтерия,+79726000386,10-9-1973,музеи
66,Семенов,Петр,сервис,+79630426833,22-4-1963,путешествия
67,Орлов,Вячеслав,снабжение,+79188486159,6-10-1990,путешествия
68,Голубев,Николай,бухгалтерия,+79111461855,3-3-1974,рыбалка
69,Синицын,Вячеслав,снабжение,+79920427778,23-10-1995,рыбалка
70,Голубев,Иван,кадры,+79109039390,10-2-1967,театры
71,Голубев,Петр,дирекция,+79538945546,13-10-1970,театры
72,Петров,Михаил,продажи,+79926571811,25-12-1999,футбол
73,Потемкин,Николай,юристы,+79919850970,2-5-1981,баня
74,Потемкин,Михаил,снабжение,+79306863168,22-7-1974,театры
75,Сергеев,Вячеслав,продажи,+79106394470,27-12-1962,прочее
76,Голубев,Вячеслав,продажи,+79841177638,3-2-1994,музеи
77,Петров,Иван,сервис,+79973794811,8-11-1983,прочее
78,Потемкин,Николай,дирекция,+79928317463,5-10-1967,футбол
79,Сергеев,Николай,логистика,+79922705257,21-1-1962,рыбалка
80,Иванов,Вячеслав,продажи,+79521519833,19-6-1988,прочее
81,Андреев,Сергей,снабжение,+79698956597,17-5-1983,саморазвитие
82,Семенов,Сергей,кадры,+79429156909,9-4-1978,авто
83,Андреев,Аркадий,дирекция,+79481099882,17-3-1967,театры
84,Сергеев,Петр,дирекция,+79789937311,11-7-1999,футбол
85,Сидоров,Андрей,маректинг,+79171502114,2-9-1979,баня
86,Гогишвиллли,,,,,
